Order_ID,Product_ID,Sales,Quantity,Discount,profit,customer_id,ship_mode,order_status,purchase_date,delivered_date
CA-2016-118689,FUR-CH-10000454,731.94,3,0,-383.031,CW-11905,Standard Class,delivered,11/24/2017 18:03,12/16/2017 19:59
CA-2017-140151,OFF-LA-10000240,14.62,2,0,2.5164,SF-20065,First Class,delivered,6/6/2018 14:09,6/18/2018 18:11
CA-2017-127180,FUR-TA-10000577,957.5775,5,0.45,14.1694,CL-12565,First Class,delivered,5/19/2018 18:08,5/25/2018 14:26
CA-2017-166709,OFF-ST-10000760,22.368,2,0.2,1.9656,VW-21775,Standard Class,delivered,2/21/2018 23:10,3/7/2018 23:28
CA-2016-117121,FUR-FU-10001487,48.86,7,0,90.7152,AF-10885,Standard Class,delivered,1/9/2018 17:03,1/22/2018 19:58
CA-2014-116904,OFF-AR-10002833,7.28,4,0,5.7825,AD-10180,Standard Class,delivered,3/22/2018 14:08,4/19/2018 17:35
US-2016-107440,TEC-PH-10002275,907.152,6,0.2,34.47,EA-14035,Standard Class,delivered,6/27/2017 10:59,7/10/2017 19:46
CA-2016-158841,OFF-BI-10003910,18.504,3,0.2,85.3092,AP-10915,Second Class,delivered,5/1/2018 22:22,5/14/2018 20:21
CA-2016-143714,OFF-AP-10002892,114.9,5,0,68.3568,GP-14740,Standard Class,delivered,1/11/2018 16:39,1/23/2018 18:17
CA-2014-143917,FUR-TA-10001539,1706.184,9,0.2,5.4432,DW-13585,Second Class,unavailable,2/8/2018 18:26,
CA-2014-139892,TEC-PH-10002033,911.424,4,0.2,132.5922,DL-12865,Standard Class,delivered,5/24/2018 12:16,6/4/2018 17:16
US-2017-168116,OFF-PA-10002365,15.552,3,0.2,-123.858,TB-21520,Same Day,delivered,12/15/2017 12:57,12/22/2017 1:28
CA-2014-145541,OFF-BI-10003656,407.976,3,0.2,-3.816,CS-12130,Standard Class,delivered,2/25/2018 13:49,3/28/2018 20:46
CA-2015-145352,OFF-AP-10002311,68.81,5,0.8,13.3176,JK-15640,Standard Class,delivered,8/23/2018 14:56,8/30/2018 15:06
CA-2017-138289,OFF-BI-10000756,2.544,3,0.8,9.99,BW-11110,Second Class,delivered,2/19/2018 15:19,2/21/2018 22:12
US-2016-140158,OFF-ST-10004186,665.88,6,0,2.4824,NK-18490,Standard Class,shipped,7/4/2017 10:50,
CA-2017-143112,OFF-ST-10000107,55.5,2,0,16.011,DV-13465,Standard Class,delivered,6/7/2017 7:29,6/13/2017 16:09
CA-2017-135909,OFF-AR-10003056,8.56,2,0,7.384,DB-13060,Standard Class,delivered,7/2/2018 21:30,7/5/2018 13:08
CA-2016-136301,TEC-PH-10001949,213.48,3,0.2,5.0596,PO-19180,Second Class,delivered,2/25/2018 12:32,3/15/2018 18:33
US-2015-128587,OFF-BI-10002215,22.72,4,0.2,15.6884,XP-21865,Standard Class,delivered,10/20/2017 17:08,10/24/2017 20:14
US-2016-143819,OFF-AR-10000246,19.46,7,0,-1.0196,DL-12865,Standard Class,delivered,4/13/2017 21:06,5/3/2017 11:04
CA-2017-149881,OFF-AP-10001492,60.34,7,0,240.2649,MR-17545,First Class,delivered,8/21/2017 18:36,8/28/2017 16:20
CA-2017-158379,FUR-CH-10002774,71.372,2,0.3,4.2224,AG-10495,Second Class,delivered,9/15/2017 18:18,9/25/2017 21:03
CA-2015-114811,FUR-TA-10000577,1044.63,3,0,11.7741,DO-13435,Same Day,delivered,12/4/2017 8:49,12/6/2017 0:24
